county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Monterey,2/25/2021,38,1,39,720,9,0,17
Madera,2/25/2021,33,5,38,279,8,0,8
San Benito,2/25/2021,6,0,6,25,4,0,0
Sutter,2/25/2021,0,0,0,14,0,0,0
Tuolumne,2/25/2021,2,1,3,84,0,1,3
Merced,2/25/2021,35,0,35,271,6,0,8
Mono,2/25/2021,0,0,0,17,0,0,2
Santa Clara,2/25/2021,192,27,219,3072,66,2,51
Trinity,2/25/2021,0,0,0,25,0,0,0
Mariposa,2/25/2021,0,0,0,14,0,0,0
Butte,2/25/2021,13,0,13,451,2,0,5
Siskiyou,2/25/2021,2,0,2,56,3,0,4
Riverside,2/25/2021,361,63,424,3295,96,9,54
Mendocino,2/25/2021,5,0,5,87,3,0,2
Lassen,2/25/2021,1,0,1,25,0,0,0
Amador,2/25/2021,3,1,4,52,0,1,2
Glenn,2/25/2021,0,0,0,47,0,0,0
Orange,2/25/2021,453,22,475,5866,137,5,234
San Joaquin,2/25/2021,117,14,131,877,40,7,6
Colusa,2/25/2021,1,0,1,48,0,0,5
Del Norte,2/25/2021,1,0,1,52,0,0,1
San Mateo,2/25/2021,54,2,56,697,16,0,17
Solano,2/25/2021,46,16,62,581,13,1,7
Kern,2/25/2021,162,1,163,1140,54,0,24
Santa Cruz,2/25/2021,17,1,18,372,2,0,10
San Luis Obispo,2/25/2021,18,1,19,460,2,0,21
Imperial,2/25/2021,25,0,25,234,8,0,4
Modoc,2/25/2021,0,0,0,12,0,0,0
Alameda,2/26/2021,157,24,181,2475,42,2,101
Contra Costa,2/26/2021,72,11,83,1299,29,2,47
Lake,2/26/2021,3,0,3,63,1,0,5
Humboldt,2/26/2021,6,2,8,276,0,1,9
Kern,2/26/2021,158,4,162,1140,52,0,24
Mariposa,2/26/2021,0,0,0,14,0,0,0
Marin,2/26/2021,15,2,17,316,5,1,16
Yuba,2/26/2021,18,0,18,256,5,0,1
San Benito,2/26/2021,6,0,6,25,4,0,0
Tuolumne,2/26/2021,2,0,2,84,0,0,0
El Dorado,2/26/2021,6,0,6,190,1,0,6
Amador,2/26/2021,3,0,3,52,0,0,1
San Luis Obispo,2/26/2021,18,1,19,460,2,0,21
Trinity,2/26/2021,0,0,0,25,0,0,0
Plumas,2/26/2021,0,0,0,35,0,0,0
Inyo,2/26/2021,2,0,2,29,0,0,2
Ventura,2/26/2021,144,9,153,1191,38,2,44
Napa,2/26/2021,7,3,10,210,2,0,47
Shasta,2/26/2021,18,1,19,567,4,0,17
Merced,2/26/2021,33,0,33,271,6,0,8
Tehama,2/26/2021,3,0,3,59,0,0,3
Orange,2/26/2021,444,15,459,5852,128,2,249
Sonoma,2/26/2021,35,1,36,650,12,0,14
San Francisco,2/26/2021,83,5,88,2116,24,1,66
San Diego,2/26/2021,523,39,562,6493,167,6,222
Sutter,2/26/2021,0,0,0,14,0,0,0
Calaveras,2/26/2021,1,0,1,33,1,0,4
Madera,2/26/2021,29,7,36,279,12,0,6
Solano,2/26/2021,45,12,57,577,14,0,13
Nevada,2/26/2021,2,2,4,122,1,0,3
Butte,2/26/2021,15,0,15,451,2,0,4
Modoc,2/26/2021,0,0,0,12,0,0,0
Santa Cruz,2/26/2021,16,2,18,372,1,0,7
Tulare,2/26/2021,69,8,77,667,9,0,21
San Bernardino,2/26/2021,327,23,350,3542,85,4,116
San Mateo,2/26/2021,54,3,57,682,16,3,12
Mendocino,2/26/2021,5,0,5,87,3,0,4
Lassen,2/26/2021,1,0,1,25,0,0,0
Los Angeles,2/26/2021,1661,194,1855,19252,533,32,461
San Joaquin,2/26/2021,109,7,116,879,39,2,6
Yolo,2/26/2021,11,0,11,132,4,0,4
Sacramento,2/26/2021,177,17,194,2626,49,4,71
Del Norte,2/26/2021,1,0,1,52,0,0,0
Placer,2/26/2021,52,10,62,773,18,2,15
Santa Barbara,2/26/2021,74,6,80,603,18,1,28
Glenn,2/26/2021,0,0,0,47,0,0,0
Riverside,2/26/2021,338,57,395,3292,87,5,60
Fresno,2/26/2021,207,20,227,1540,48,2,16
Stanislaus,2/26/2021,128,14,142,1305,31,1,19
Monterey,2/26/2021,40,1,41,720,9,0,12
Colusa,2/26/2021,0,0,0,48,0,0,5
Kings,2/26/2021,34,0,34,126,6,0,0
Mono,2/26/2021,1,0,1,17,0,0,2
Siskiyou,2/26/2021,3,0,3,56,0,0,3
Santa Clara,2/26/2021,194,25,219,3084,62,0,68
Imperial,2/26/2021,22,0,22,234,8,0,5
Amador,2/27/2021,3,0,3,52,1,0,2
Yuba,2/27/2021,22,0,22,261,6,0,2
Modoc,2/27/2021,0,0,0,12,0,0,0
Napa,2/27/2021,8,0,8,207,2,0,11
Marin,2/27/2021,13,3,16,317,4,1,18
Lassen,2/27/2021,0,0,0,25,0,0,0
San Francisco,2/27/2021,78,8,86,2114,24,3,75
Fresno,2/27/2021,201,22,223,1508,41,1,14
Lake,2/27/2021,1,0,1,63,1,0,5
Shasta,2/27/2021,18,1,19,567,4,0,20
Riverside,2/27/2021,328,50,378,3262,90,4,60
Mendocino,2/27/2021,6,0,6,90,3,0,3
Santa Barbara,2/27/2021,70,6,76,603,18,2,28
Humboldt,2/27/2021,6,3,9,276,0,1,9
Calaveras,2/27/2021,1,0,1,33,1,0,5
San Benito,2/27/2021,4,0,4,25,3,0,0
Yolo,2/27/2021,11,0,11,132,4,0,4
Sutter,2/27/2021,0,0,0,14,0,0,0
San Mateo,2/27/2021,56,3,59,675,17,0,17
San Joaquin,2/27/2021,105,9,114,879,40,2,7
Tulare,2/27/2021,62,3,65,648,7,0,23
Alameda,2/27/2021,163,26,189,2466,38,4,95
Monterey,2/27/2021,38,3,41,720,9,0,14
Glenn,2/27/2021,0,0,0,47,0,0,0
Nevada,2/27/2021,2,2,4,122,1,0,2
Contra Costa,2/27/2021,78,16,94,1327,26,1,47
Merced,2/27/2021,33,0,33,271,6,0,8
Colusa,2/27/2021,0,0,0,48,0,0,5
Kings,2/27/2021,37,0,37,135,7,0,6
Los Angeles,2/27/2021,1578,183,1761,19266,495,29,465
Tuolumne,2/27/2021,0,0,0,84,0,0,2
Kern,2/27/2021,159,3,162,1140,53,0,28
Trinity,2/27/2021,0,0,0,25,0,0,0
Sonoma,2/27/2021,30,1,31,653,13,0,14
Plumas,2/27/2021,0,0,0,35,0,0,0
Solano,2/27/2021,39,14,53,590,12,0,11
Butte,2/27/2021,23,0,23,451,4,0,10
San Luis Obispo,2/27/2021,16,1,17,460,1,0,24
El Dorado,2/27/2021,4,1,5,190,1,1,3
Ventura,2/27/2021,141,5,146,1183,36,2,43
Placer,2/27/2021,61,9,70,770,16,0,21
Madera,2/27/2021,26,7,33,281,5,0,2
Sacramento,2/27/2021,165,22,187,2598,49,6,68
Inyo,2/27/2021,1,0,1,29,0,0,2
San Bernardino,2/27/2021,299,23,322,3569,78,4,116
Del Norte,2/27/2021,1,0,1,52,0,0,0
Mono,2/27/2021,1,0,1,17,0,0,2
Siskiyou,2/27/2021,3,0,3,56,0,0,3
Mariposa,2/27/2021,0,0,0,14,0,0,0
Tehama,2/27/2021,3,0,3,59,0,0,3
Imperial,2/27/2021,21,2,23,234,9,0,1
Santa Cruz,2/27/2021,15,1,16,372,1,1,9
Santa Clara,2/27/2021,187,33,220,3056,62,3,57
San Diego,2/27/2021,485,34,519,6486,156,6,205
Stanislaus,2/27/2021,120,15,135,1304,31,2,23
Orange,2/27/2021,421,22,443,5869,132,5,245
Shasta,2/28/2021,16,0,16,567,4,0,22
Contra Costa,2/28/2021,73,17,90,1327,25,0,68
San Joaquin,2/28/2021,94,11,105,885,36,3,7
Sacramento,2/28/2021,157,22,179,2594,47,4,86
San Bernardino,2/28/2021,285,23,308,3548,75,5,112
Imperial,2/28/2021,22,0,22,234,8,0,3
Sonoma,2/28/2021,29,1,30,632,16,0,14
Tehama,2/28/2021,3,0,3,59,0,0,4
Santa Barbara,2/28/2021,59,5,64,603,17,0,34
Napa,2/28/2021,5,0,5,202,2,0,3
Yuba,2/28/2021,18,1,19,261,5,0,3
Humboldt,2/28/2021,7,3,10,276,0,1,7
Mono,2/28/2021,0,0,0,17,0,0,2
Santa Cruz,2/28/2021,15,1,16,372,1,1,10
Solano,2/28/2021,42,14,56,590,13,0,12
Kern,2/28/2021,148,6,154,1121,46,0,35
Alameda,2/28/2021,152,26,178,2464,36,4,107
Glenn,2/28/2021,0,0,0,47,0,0,0
Yolo,2/28/2021,16,0,16,125,6,0,3
Nevada,2/28/2021,0,1,1,116,1,0,2
Colusa,2/28/2021,0,0,0,48,0,0,5
Lake,2/28/2021,1,0,1,63,1,0,26
Amador,2/28/2021,3,0,3,52,1,0,2
El Dorado,2/28/2021,4,0,4,190,1,0,5
Santa Clara,2/28/2021,189,32,221,3059,64,4,63
San Francisco,2/28/2021,79,6,85,2106,28,3,80
Marin,2/28/2021,14,3,17,317,3,1,17
Tuolumne,2/28/2021,0,0,0,84,0,0,2
Orange,2/28/2021,419,26,445,5816,119,4,251
Butte,2/28/2021,24,0,24,451,5,0,13
San Diego,2/28/2021,484,20,504,6491,149,6,227
San Mateo,2/28/2021,54,3,57,680,17,0,24
Ventura,2/28/2021,116,4,120,1138,30,0,39
Kings,2/28/2021,33,0,33,129,7,0,2
Siskiyou,2/28/2021,2,0,2,56,0,0,4
Del Norte,2/28/2021,2,0,2,53,1,0,1
Merced,2/28/2021,31,0,31,271,6,0,7
Madera,2/28/2021,20,8,28,280,3,0,2
Lassen,2/28/2021,0,0,0,25,0,0,0
Calaveras,2/28/2021,0,0,0,33,0,0,6
Monterey,2/28/2021,38,1,39,720,8,0,16
Fresno,2/28/2021,191,14,205,1502,38,1,15
Plumas,2/28/2021,0,0,0,35,0,0,0
Inyo,2/28/2021,0,0,0,29,0,0,2
Riverside,2/28/2021,307,57,364,3259,83,11,61
Placer,2/28/2021,61,11,72,770,16,0,19
Trinity,2/28/2021,0,0,0,25,0,0,0
Sutter,2/28/2021,0,0,0,14,0,0,0
Los Angeles,2/28/2021,1502,157,1659,19137,475,28,518
San Luis Obispo,2/28/2021,17,1,18,460,2,0,28
Mendocino,2/28/2021,4,0,4,84,2,0,2
San Benito,2/28/2021,3,0,3,25,2,0,0
Mariposa,2/28/2021,0,0,0,14,0,0,0
Tulare,2/28/2021,62,8,70,647,9,0,22
Modoc,2/28/2021,0,0,0,12,0,0,0
Stanislaus,2/28/2021,111,15,126,1307,31,3,23
Fresno,3/1/2021,181,17,198,1523,39,0,16
San Bernardino,3/1/2021,280,29,309,3483,69,6,130
Kings,3/1/2021,34,1,35,129,6,0,4
Trinity,3/1/2021,0,0,0,25,0,0,0
El Dorado,3/1/2021,3,0,3,190,2,0,2
Monterey,3/1/2021,40,1,41,720,9,0,18
Sutter,3/1/2021,0,0,0,14,0,0,0
Lake,3/1/2021,0,0,0,63,0,0,6
Inyo,3/1/2021,1,0,1,29,0,0,2
Riverside,3/1/2021,301,45,346,3208,73,1,66
San Joaquin,3/1/2021,98,9,107,882,36,4,10
Nevada,3/1/2021,4,0,4,132,1,0,6
Santa Barbara,3/1/2021,61,6,67,603,19,2,30
Kern,3/1/2021,143,8,151,1114,42,0,32
Stanislaus,3/1/2021,111,15,126,1297,28,3,25
Orange,3/1/2021,425,21,446,5863,116,5,255
Ventura,3/1/2021,102,7,109,1113,33,3,39
Contra Costa,3/1/2021,75,19,94,1291,26,0,51
Modoc,3/1/2021,0,0,0,12,0,0,0
Lassen,3/1/2021,0,0,0,25,0,0,0
Butte,3/1/2021,22,1,23,451,5,1,16
Siskiyou,3/1/2021,3,0,3,56,1,1,4
Santa Clara,3/1/2021,182,23,205,3033,58,1,70
Mendocino,3/1/2021,5,0,5,107,2,0,3
Calaveras,3/1/2021,0,0,0,33,0,0,8
Yolo,3/1/2021,14,1,15,132,6,0,2
Tulare,3/1/2021,62,9,71,667,9,0,21
Placer,3/1/2021,55,8,63,768,15,1,21
San Francisco,3/1/2021,74,3,77,2103,22,0,99
Del Norte,3/1/2021,2,0,2,52,1,0,1
Plumas,3/1/2021,0,0,0,35,0,0,0
Yuba,3/1/2021,19,0,19,261,5,0,2
Glenn,3/1/2021,0,0,0,47,0,0,0
San Luis Obispo,3/1/2021,12,2,14,460,1,0,30
Alameda,3/1/2021,136,24,160,2434,33,2,108
Shasta,3/1/2021,16,0,16,567,4,0,26
Sonoma,3/1/2021,30,2,32,642,13,1,14
Mono,3/1/2021,0,0,0,17,0,0,1
San Diego,3/1/2021,479,35,514,6486,152,4,237
Imperial,3/1/2021,23,0,23,234,8,0,5
Tuolumne,3/1/2021,0,0,0,84,0,0,6
Colusa,3/1/2021,1,0,1,48,0,0,5
Napa,3/1/2021,5,0,5,209,0,0,6
Sacramento,3/1/2021,150,18,168,2554,46,0,88
Santa Cruz,3/1/2021,13,1,14,372,2,0,8
Marin,3/1/2021,14,5,19,316,4,0,14
Amador,3/1/2021,2,0,2,52,1,0,1
Madera,3/1/2021,21,9,30,282,3,0,8
San Benito,3/1/2021,2,0,2,25,1,0,0
Mariposa,3/1/2021,0,0,0,14,0,0,0
Humboldt,3/1/2021,3,5,8,276,0,1,5
Los Angeles,3/1/2021,1476,155,1631,19111,460,25,563
San Mateo,3/1/2021,53,3,56,692,16,1,23
Solano,3/1/2021,44,8,52,569,16,0,13
Merced,3/1/2021,33,0,33,271,5,0,6
Tehama,3/1/2021,2,0,2,59,2,0,2
Orange,3/2/2021,403,25,428,5830,107,7,256
Monterey,3/2/2021,38,1,39,720,9,0,11
Contra Costa,3/2/2021,69,22,91,1288,23,1,54
Lake,3/2/2021,0,0,0,63,0,0,5
Merced,3/2/2021,29,0,29,271,4,0,8
Shasta,3/2/2021,17,0,17,567,5,0,21
Santa Barbara,3/2/2021,57,2,59,603,19,1,23
Napa,3/2/2021,4,0,4,218,0,0,7
Lassen,3/2/2021,0,0,0,25,0,0,0
El Dorado,3/2/2021,3,0,3,190,2,0,2
Plumas,3/2/2021,0,0,0,35,0,0,0
Siskiyou,3/2/2021,3,0,3,56,2,0,2
San Luis Obispo,3/2/2021,11,3,14,460,1,0,29
San Bernardino,3/2/2021,267,17,284,3507,69,2,118
Trinity,3/2/2021,0,0,0,25,0,0,0
Madera,3/2/2021,14,3,17,279,3,1,9
Stanislaus,3/2/2021,112,18,130,1307,28,4,14
Sutter,3/2/2021,0,0,0,14,0,0,0
Placer,3/2/2021,46,10,56,774,16,1,19
Santa Clara,3/2/2021,170,20,190,2989,57,5,58
Sonoma,3/2/2021,22,2,24,664,10,1,13
Kern,3/2/2021,127,14,141,1117,42,0,17
Modoc,3/2/2021,0,0,0,12,0,0,0
Mendocino,3/2/2021,4,0,4,111,1,0,2
Los Angeles,3/2/2021,1401,173,1574,19210,450,29,551
Nevada,3/2/2021,4,1,5,118,2,0,4
Fresno,3/2/2021,180,28,208,1536,36,2,25
Ventura,3/2/2021,101,14,115,1149,33,1,42
Mariposa,3/2/2021,0,0,0,14,0,0,0
Kings,3/2/2021,34,1,35,128,4,0,4
Inyo,3/2/2021,2,0,2,29,0,0,2
Calaveras,3/2/2021,0,0,0,33,0,0,8
Amador,3/2/2021,2,0,2,52,1,0,1
Mono,3/2/2021,0,0,0,17,0,0,2
Tulare,3/2/2021,62,12,74,672,10,0,22
Yolo,3/2/2021,11,0,11,132,5,0,1
Santa Cruz,3/2/2021,12,0,12,372,2,0,6
San Benito,3/2/2021,2,0,2,25,1,0,0
San Joaquin,3/2/2021,97,7,104,881,36,1,11
Butte,3/2/2021,21,0,21,451,5,0,15
Yuba,3/2/2021,21,0,21,261,4,0,3
Sacramento,3/2/2021,154,16,170,2590,43,0,84
Tuolumne,3/2/2021,0,0,0,84,0,0,3
Colusa,3/2/2021,1,2,3,48,0,0,5
Glenn,3/2/2021,0,0,0,47,0,0,0
Tehama,3/2/2021,3,0,3,59,1,0,4
Humboldt,3/2/2021,1,5,6,276,0,0,9
San Diego,3/2/2021,443,29,472,6484,142,7,228
Solano,3/2/2021,45,8,53,581,14,0,17
Marin,3/2/2021,13,4,17,321,4,0,17
San Francisco,3/2/2021,76,2,78,2113,22,0,92
Imperial,3/2/2021,22,0,22,234,9,0,5
Del Norte,3/2/2021,1,0,1,52,1,0,1
Alameda,3/2/2021,140,25,165,2464,31,1,106
San Mateo,3/2/2021,49,5,54,710,15,1,22
Riverside,3/2/2021,303,44,347,3239,66,3,66
Modoc,3/3/2021,0,0,0,12,0,0,0
Los Angeles,3/3/2021,1341,182,1523,19238,429,19,531
Nevada,3/3/2021,3,1,4,132,2,0,3
Sonoma,3/3/2021,18,5,23,660,8,1,15
Glenn,3/3/2021,0,0,0,47,0,0,0
Tuolumne,3/3/2021,1,0,1,84,0,0,2
Stanislaus,3/3/2021,114,13,127,1306,26,3,16
Plumas,3/3/2021,0,0,0,35,0,0,0
Colusa,3/3/2021,1,2,3,48,0,0,5
San Luis Obispo,3/3/2021,12,1,13,460,2,0,27
Sacramento,3/3/2021,152,9,161,2593,43,0,74
Napa,3/3/2021,4,0,4,218,1,0,6
Imperial,3/3/2021,20,0,20,234,8,0,6
Santa Cruz,3/3/2021,11,1,12,372,2,0,5
Kern,3/3/2021,127,9,136,1127,34,8,30
San Bernardino,3/3/2021,254,31,285,3544,63,0,120
Mendocino,3/3/2021,2,0,2,110,2,0,3
Mariposa,3/3/2021,0,0,0,14,0,0,0
Inyo,3/3/2021,2,0,2,29,0,0,2
Shasta,3/3/2021,15,0,15,567,5,0,8
Amador,3/3/2021,2,0,2,52,2,0,0
Monterey,3/3/2021,40,1,41,720,8,0,12
Yuba,3/3/2021,22,0,22,261,1,0,1
Del Norte,3/3/2021,1,0,1,52,1,0,1
El Dorado,3/3/2021,4,0,4,190,3,0,4
Lassen,3/3/2021,0,0,0,25,0,0,0
San Francisco,3/3/2021,65,9,74,2116,19,0,94
San Benito,3/3/2021,2,0,2,25,0,0,0
Lake,3/3/2021,0,0,0,63,0,0,7
Merced,3/3/2021,22,0,22,271,2,0,8
Madera,3/3/2021,13,6,19,278,3,0,13
Tehama,3/3/2021,3,0,3,59,1,0,1
Ventura,3/3/2021,102,4,106,1167,32,0,54
Butte,3/3/2021,21,0,21,451,3,0,15
Siskiyou,3/3/2021,3,0,3,56,1,0,4
Santa Clara,3/3/2021,176,28,204,3043,60,5,64
Orange,3/3/2021,379,26,405,5883,97,5,249
Solano,3/3/2021,44,8,52,593,11,0,17
Humboldt,3/3/2021,1,2,3,275,0,1,5
Fresno,3/3/2021,174,24,198,1525,35,1,24
Riverside,3/3/2021,303,43,346,3264,68,3,55
Alameda,3/3/2021,145,29,174,2459,32,1,111
San Diego,3/3/2021,429,24,453,6496,139,6,234
Marin,3/3/2021,16,3,19,322,4,0,14
Kings,3/3/2021,35,1,36,130,4,0,5
Sutter,3/3/2021,0,0,0,14,0,0,0
Contra Costa,3/3/2021,64,24,88,1280,21,3,49
San Joaquin,3/3/2021,93,11,104,905,35,3,10
Trinity,3/3/2021,0,0,0,25,0,0,0
Calaveras,3/3/2021,0,0,0,33,0,0,6
Tulare,3/3/2021,54,10,64,672,8,0,23
Santa Barbara,3/3/2021,52,1,53,603,18,0,23
Yolo,3/3/2021,7,0,7,134,4,0,1
Placer,3/3/2021,50,4,54,772,17,0,17
Mono,3/3/2021,0,0,0,17,0,0,2
San Mateo,3/3/2021,50,6,56,730,13,1,19
Marin,3/4/2021,15,4,19,318,4,0,11
Kings,3/4/2021,34,0,34,135,4,0,7
Sutter,3/4/2021,0,0,0,14,0,0,0
Mono,3/4/2021,0,0,0,17,0,0,2
Yolo,3/4/2021,6,0,6,130,3,0,2
Nevada,3/4/2021,5,0,5,129,2,0,3
Amador,3/4/2021,2,0,2,52,2,0,0
Mendocino,3/4/2021,2,0,2,111,2,0,4
Imperial,3/4/2021,21,1,22,234,7,0,6
Solano,3/4/2021,39,6,45,585,11,0,16
Santa Barbara,3/4/2021,53,3,56,603,17,0,29
Fresno,3/4/2021,156,23,179,1513,34,2,23
Alameda,3/4/2021,140,27,167,2459,32,1,111
Ventura,3/4/2021,103,8,111,1159,31,1,52
Santa Clara,3/4/2021,171,23,194,3003,59,2,47
Napa,3/4/2021,5,1,6,215,3,0,5
Colusa,3/4/2021,1,3,4,48,0,0,5
Modoc,3/4/2021,0,0,0,12,0,0,0
Inyo,3/4/2021,2,0,2,29,0,0,1
Trinity,3/4/2021,0,0,0,25,0,0,0
Calaveras,3/4/2021,0,0,0,33,0,0,6
Merced,3/4/2021,20,0,20,271,1,0,9
Contra Costa,3/4/2021,67,26,93,1307,20,3,40
Yuba,3/4/2021,21,0,21,261,3,0,2
Shasta,3/4/2021,11,0,11,567,4,0,19
Kern,3/4/2021,127,8,135,1134,40,0,35
Stanislaus,3/4/2021,121,10,131,1301,26,3,21
Tehama,3/4/2021,3,0,3,59,1,0,3
Lassen,3/4/2021,0,0,0,25,0,0,0
Glenn,3/4/2021,0,0,0,47,0,0,0
Orange,3/4/2021,339,24,363,5901,91,5,273
San Francisco,3/4/2021,53,12,65,2109,17,1,84
Butte,3/4/2021,23,0,23,451,2,0,14
Mariposa,3/4/2021,0,0,0,14,0,0,0
Sacramento,3/4/2021,143,19,162,2585,46,1,79
Placer,3/4/2021,51,9,60,777,16,0,21
Tuolumne,3/4/2021,1,0,1,84,0,0,2
San Benito,3/4/2021,2,0,2,25,0,0,0
Tulare,3/4/2021,54,9,63,673,7,0,15
Plumas,3/4/2021,0,0,0,35,0,0,0
San Mateo,3/4/2021,46,5,51,721,15,2,20
Madera,3/4/2021,9,3,12,278,3,0,6
Riverside,3/4/2021,279,43,322,3275,66,0,54
El Dorado,3/4/2021,4,0,4,190,3,0,11
Humboldt,3/4/2021,1,4,5,275,0,1,5
Sonoma,3/4/2021,19,0,19,694,9,0,14
Santa Cruz,3/4/2021,11,1,12,372,2,0,8
San Luis Obispo,3/4/2021,12,2,14,460,2,0,23
Los Angeles,3/4/2021,1264,191,1455,19291,372,16,551
San Diego,3/4/2021,401,23,424,6485,127,3,250
Siskiyou,3/4/2021,3,0,3,56,1,0,4
Del Norte,3/4/2021,1,0,1,52,1,0,0
San Joaquin,3/4/2021,89,16,105,884,30,2,12
Lake,3/4/2021,0,0,0,63,0,0,1
Monterey,3/4/2021,39,1,40,720,8,0,15
San Bernardino,3/4/2021,210,30,240,3531,66,3,128
San Mateo,3/5/2021,44,8,52,734,14,2,21
San Benito,3/5/2021,1,0,1,25,0,0,0
Trinity,3/5/2021,0,0,0,25,0,0,0
Santa Cruz,3/5/2021,8,1,9,372,1,0,8
Imperial,3/5/2021,22,0,22,234,6,0,8
Sacramento,3/5/2021,144,16,160,2598,44,4,94
Yuba,3/5/2021,19,0,19,261,3,0,2
Mariposa,3/5/2021,0,0,0,14,0,0,0
Santa Clara,3/5/2021,166,33,199,3025,52,6,48
Amador,3/5/2021,2,0,2,52,2,0,1
Shasta,3/5/2021,12,0,12,567,4,0,16
San Diego,3/5/2021,359,23,382,6467,120,4,246
Mono,3/5/2021,0,0,0,17,0,0,2
Humboldt,3/5/2021,2,5,7,273,0,1,7
Inyo,3/5/2021,2,0,2,29,0,0,1
Madera,3/5/2021,7,6,13,278,3,0,10
Napa,3/5/2021,7,0,7,213,2,0,2
Lassen,3/5/2021,0,0,0,25,0,0,0
Stanislaus,3/5/2021,115,11,126,1306,22,2,30
Marin,3/5/2021,17,4,21,326,4,0,8
Plumas,3/5/2021,0,0,0,35,0,0,0
Del Norte,3/5/2021,1,0,1,52,1,0,1
Colusa,3/5/2021,1,3,4,48,0,0,5
Riverside,3/5/2021,263,47,310,3256,66,2,67
El Dorado,3/5/2021,3,0,3,190,3,0,5
Lake,3/5/2021,0,0,0,63,0,0,4
Santa Barbara,3/5/2021,50,1,51,603,16,0,25
Glenn,3/5/2021,0,0,0,47,0,0,0
San Francisco,3/5/2021,55,12,67,2106,14,1,79
San Luis Obispo,3/5/2021,13,1,14,460,2,0,25
Mendocino,3/5/2021,2,0,2,111,0,0,2
Fresno,3/5/2021,150,24,174,1497,37,5,24
Yolo,3/5/2021,7,0,7,127,4,0,4
San Joaquin,3/5/2021,89,6,95,887,31,3,9
Los Angeles,3/5/2021,1176,164,1340,19290,361,22,512
Contra Costa,3/5/2021,60,22,82,1302,23,2,42
Placer,3/5/2021,45,7,52,782,14,1,23
Ventura,3/5/2021,110,6,116,1162,31,0,56
Kings,3/5/2021,35,0,35,131,5,0,5
Calaveras,3/5/2021,0,0,0,33,0,0,6
Merced,3/5/2021,16,0,16,271,1,0,11
San Bernardino,3/5/2021,248,38,286,3513,63,6,125
Orange,3/5/2021,321,15,336,5887,87,3,247
Sonoma,3/5/2021,20,0,20,681,7,0,18
Tulare,3/5/2021,51,9,60,667,8,1,17
Siskiyou,3/5/2021,2,0,2,56,1,0,4
Kern,3/5/2021,126,10,136,1125,38,1,29
Nevada,3/5/2021,5,0,5,110,1,0,3
Solano,3/5/2021,36,8,44,566,12,1,9
Alameda,3/5/2021,131,28,159,2456,36,2,104
Butte,3/5/2021,19,0,19,451,3,0,17
Monterey,3/5/2021,39,1,40,720,9,0,16
Modoc,3/5/2021,0,0,0,12,0,0,0
Tuolumne,3/5/2021,0,0,0,84,0,0,0
Tehama,3/5/2021,3,0,3,59,1,0,5
Sutter,3/5/2021,0,0,0,14,0,0,0
Mariposa,3/6/2021,0,0,0,14,0,0,0
Plumas,3/6/2021,0,0,0,35,0,0,0
Santa Clara,3/6/2021,159,23,182,3020,46,3,55
Napa,3/6/2021,6,1,7,214,2,0,6
San Luis Obispo,3/6/2021,11,0,11,460,3,0,21
Merced,3/6/2021,14,0,14,271,1,0,10
Trinity,3/6/2021,0,0,0,25,0,0,0
Kings,3/6/2021,33,0,33,122,3,0,4
Orange,3/6/2021,296,15,311,5860,89,1,254
Mono,3/6/2021,0,0,0,17,0,0,1
Santa Barbara,3/6/2021,48,2,50,603,15,0,30
Imperial,3/6/2021,18,0,18,234,7,0,6
San Diego,3/6/2021,357,27,384,6468,113,5,279
Kern,3/6/2021,113,8,121,1113,27,1,35
San Mateo,3/6/2021,40,2,42,701,13,2,20
El Dorado,3/6/2021,2,0,2,190,2,0,5
Alameda,3/6/2021,116,29,145,2464,34,3,99
Tulare,3/6/2021,47,9,56,668,6,3,21
Marin,3/6/2021,17,4,21,324,3,0,12
Santa Cruz,3/6/2021,10,0,10,372,2,0,6
Amador,3/6/2021,2,0,2,52,2,0,2
Nevada,3/6/2021,2,0,2,110,1,0,3
Inyo,3/6/2021,2,0,2,29,0,0,1
Tuolumne,3/6/2021,0,0,0,84,0,0,0
Madera,3/6/2021,9,11,20,278,3,1,8
Yolo,3/6/2021,7,0,7,122,4,0,1
Humboldt,3/6/2021,2,6,8,273,0,0,7
Riverside,3/6/2021,257,54,311,3237,63,4,62
Colusa,3/6/2021,1,2,3,48,0,0,5
Modoc,3/6/2021,0,0,0,12,0,0,0
San Bernardino,3/6/2021,242,20,262,3489,51,4,118
Sonoma,3/6/2021,19,0,19,651,10,0,15
San Francisco,3/6/2021,51,5,56,2125,14,1,75
Placer,3/6/2021,42,9,51,774,14,0,19
Sutter,3/6/2021,0,0,0,14,0,0,0
Los Angeles,3/6/2021,1132,156,1288,19192,356,17,538
Mendocino,3/6/2021,1,0,1,107,0,0,5
Solano,3/6/2021,34,5,39,562,9,0,13
Stanislaus,3/6/2021,105,13,118,1307,24,2,18
Shasta,3/6/2021,13,0,13,567,4,0,19
Sacramento,3/6/2021,130,19,149,2545,42,4,85
Yuba,3/6/2021,18,0,18,261,3,0,3
Del Norte,3/6/2021,1,0,1,52,1,0,3
Monterey,3/6/2021,35,0,35,720,8,0,20
